,score,altitude,region,processing,variety
0,90.58,2075.0,Africa,Washed / Wet,Ethiopian Varieties
1,89.92,2075.0,Africa,Washed / Wet,Ethiopian Varieties
2,89.75,1700.0,Central America,Washed / Wet,Bourbon
3,89.0,2000.0,Africa,Natural / Dry,Ethiopian Varieties
4,88.83,2075.0,Africa,Washed / Wet,Ethiopian Varieties
5,88.83,1000.0,Brazil,Natural / Dry,Bourbon
6,88.75,1200.0,South America,Washed / Wet,Typica
7,88.67,1635.0,Africa,Natural / Dry,Ethiopian Varieties
8,88.42,1635.0,Africa,Natural / Dry,Ethiopian Varieties
9,88.25,1822.5,Africa,Natural / Dry,Ethiopian Varieties
10,88.08,1905.0,Africa,Natural / Dry,Ethiopian Varieties
11,87.92,1872.0,South America,Washed / Wet,Bourbon
12,87.92,1943.0,South America,Washed / Wet,Bourbon
13,87.92,609.6,Asia Pacific,Natural / Dry,Typica
14,87.83,1635.0,Africa,Natural / Dry,Ethiopian Varieties
15,87.58,2080.0,South America,Washed / Wet,Bourbon
16,87.42,1500.0,Asia Pacific,Washed / Wet,Typica
17,87.33,1800.0,Africa,Natural / Dry,Typica
18,87.25,1450.0,Asia Pacific,Washed / Wet,Catimor
19,87.25,1850.0,Africa,Natural / Dry,Ethiopian Varieties
20,87.25,2019.0,South America,Washed / Wet,Bourbon
21,87.17,1300.0,Central America,Washed / Wet,Bourbon
22,87.17,1320.0,North America,Washed / Wet,Typica
23,87.08,2112.0,South America,Washed / Wet,Bourbon
24,87.08,1800.0,Africa,Natural / Dry,Ethiopian Varieties
25,86.92,1250.0,Brazil,Natural / Dry,Bourbon
26,86.92,1800.0,Africa,Natural / Dry,Typica
27,86.83,1950.0,Africa,Washed / Wet,Typica
28,86.67,1400.0,Central America,Washed / Wet,Bourbon
29,86.58,1200.0,Asia Pacific,Semi-Washed / Honey,Typica
30,86.58,1140.0,Central America,Washed / Wet,Bourbon
31,86.5,1600.0,Africa,Natural / Dry,Bourbon
32,86.42,1300.0,Brazil,Natural / Dry,Bourbon
33,86.33,1300.0,Central America,Washed / Wet,Bourbon
34,86.25,1775.0,Africa,Natural / Dry,Ethiopian Varieties
35,86.25,1800.0,Africa,Washed / Wet,Typica
36,86.25,518.16,Asia Pacific,Natural / Dry,Typica
37,86.25,518.16,Asia Pacific,Natural / Dry,Typica
38,86.25,1800.0,Africa,Natural / Dry,Typica
39,86.17,1941.0,South America,Washed / Wet,Bourbon
40,86.17,1300.0,Asia Pacific,Washed / Wet,Bourbon
41,86.17,12.0,Brazil,Semi-Washed / Honey,Bourbon
42,86.17,12.0,Brazil,Semi-Washed / Honey,Bourbon
43,86.08,1000.0,Asia Pacific,Semi-Washed / Honey,Bourbon
44,86.08,1754.0,Africa,Natural / Dry,Bourbon
45,86.08,1250.0,Brazil,Semi-Washed / Honey,Bourbon
46,86.0,1700.0,Africa,Semi-Washed / Honey,Typica
47,86.0,1200.0,South America,Washed / Wet,Bourbon
48,86.0,1860.0,Africa,Washed / Wet,Bourbon
49,86.0,1650.0,Africa,Washed / Wet,Typica
50,86.0,1750.0,Africa,Natural / Dry,Typica
51,86.0,426.72,Asia Pacific,Natural / Dry,Typica
52,85.92,1310.64,Central America,Washed / Wet,Bourbon
53,85.92,1650.0,Africa,Natural / Dry,Typica
54,85.92,1800.0,South America,Washed / Wet,Bourbon
55,85.83,1600.0,Central America,Washed / Wet,Ethiopian Varieties
56,85.83,1900.0,Africa,Washed / Wet,Ethiopian Varieties
57,85.83,1524.0,Central America,Washed / Wet,Bourbon
58,85.83,1417.32,Central America,Washed / Wet,Bourbon/Typica
59,85.75,1800.0,Africa,Natural / Dry,Bourbon
60,85.75,1200.0,South America,Washed / Wet,Typica
61,85.75,1700.0,Asia Pacific,Washed / Wet,Bourbon
62,85.58,1500.0,Central America,Washed / Wet,Bourbon
63,85.58,1350.0,Central America,Semi-Washed / Honey,Bourbon
64,85.58,518.16,Asia Pacific,Natural / Dry,Typica
65,85.5,1680.0,Central America,Natural / Dry,Bourbon
66,85.5,1900.0,Africa,Natural / Dry,Bourbon
67,85.5,1900.0,Africa,Natural / Dry,Ethiopian Varieties
68,85.5,1600.0,Africa,Washed / Wet,Typica
69,85.5,1731.264,Central America,Washed / Wet,Bourbon
70,85.42,1900.0,Africa,Washed / Wet,Ethiopian Varieties
71,85.42,1950.0,Africa,Washed / Wet,Typica
72,85.42,518.16,Asia Pacific,Natural / Dry,Typica
73,85.42,1250.0,Brazil,Semi-Washed / Honey,Bourbon
74,85.42,1400.0,Central America,Washed / Wet,Bourbon
75,85.33,1700.0,Asia Pacific,Natural / Dry,Catimor
76,85.33,1770.0,Central America,Natural / Dry,Bourbon/Typica
77,85.33,1300.0,Central America,Washed / Wet,Bourbon
78,85.33,1300.0,Central America,Washed / Wet,Bourbon
79,85.33,1600.0,Africa,Washed / Wet,Typica
80,85.33,1200.0,Africa,Washed / Wet,Typica
81,85.33,1800.0,Africa,Natural / Dry,Typica
82,85.33,1800.0,Africa,Natural / Dry,Typica
83,85.25,1310.64,Central America,Washed / Wet,Bourbon
84,85.25,1550.0,South America,Washed / Wet,Bourbon
85,85.25,1550.0,South America,Natural / Dry,Bourbon
86,85.17,1325.0,Asia Pacific,Semi-Washed / Honey,Typica
87,85.17,1400.0,Central America,Washed / Wet,Bourbon
88,85.08,1800.0,Africa,Natural / Dry,Ethiopian Varieties
89,85.08,2560.0,South America,Natural / Dry,Bourbon
90,85.08,1700.0,Africa,Natural / Dry,Ethiopian Varieties
91,85.08,518.16,Asia Pacific,Natural / Dry,Typica
92,85.08,2136.0,South America,Natural / Dry,Bourbon
93,85.08,518.16,Asia Pacific,Natural / Dry,Typica
94,85.08,1800.0,Africa,Natural / Dry,Typica
95,85.08,518.16,Asia Pacific,Natural / Dry,Typica
96,85.0,1800.0,Africa,Washed / Wet,Typica
97,85.0,1750.0,South America,Washed / Wet,Bourbon
98,85.0,1900.0,Central America,Washed / Wet,Bourbon/Typica
99,85.0,1300.0,North America,Washed / Wet,Typica
100,85.0,1.0,Africa,Washed / Wet,Bourbon
101,85.0,1580.0,Africa,Washed / Wet,Typica
102,85.0,1100.0,Brazil,Natural / Dry,Bourbon/Typica
103,85.0,1400.0,North America,Washed / Wet,Bourbon/Typica
104,85.0,518.16,Asia Pacific,Natural / Dry,Typica
105,85.0,1325.88,Central America,Washed / Wet,Bourbon
106,84.92,1750.0,South America,Washed / Wet,Bourbon
107,84.92,1775.0,South America,Washed / Wet,Bourbon
108,84.92,800.0,Asia Pacific,Semi-Washed / Honey,Typica
109,84.92,1620.0,Africa,Washed / Wet,Bourbon
110,84.92,1775.0,South America,Washed / Wet,Bourbon
111,84.92,1200.0,North America,Semi-Washed / Honey,Typica
112,84.92,1200.0,Brazil,Natural / Dry,Bourbon
113,84.92,1000.0,Brazil,Natural / Dry,Bourbon/Typica
114,84.92,1754.0,Africa,Washed / Wet,Bourbon
115,84.83,350.0,Asia Pacific,Natural / Dry,Typica
116,84.83,1650.0,Africa,Natural / Dry,Typica
117,84.83,518.16,Asia Pacific,Natural / Dry,Typica
118,84.83,1750.0,Africa,Natural / Dry,Typica
119,84.83,1750.0,Africa,Natural / Dry,Typica
120,84.75,1200.0,Asia Pacific,Semi-Washed / Honey,Bourbon
121,84.75,1800.0,Africa,Washed / Wet,Typica
122,84.75,1450.0,Central America,Washed / Wet,Bourbon/Typica
123,84.75,1200.0,Central America,Washed / Wet,Bourbon
124,84.75,925.0,Central America,Washed / Wet,Bourbon
125,84.67,1350.0,Central America,Washed / Wet,Bourbon
126,84.67,1200.0,Asia Pacific,Washed / Wet,Ethiopian Varieties
127,84.67,170.0,Asia Pacific,Semi-Washed / Honey,Bourbon/Typica
128,84.67,1150.0,Central America,Washed / Wet,Bourbon/Typica
129,84.67,1600.0,Central America,Washed / Wet,Bourbon
130,84.67,1750.0,Central America,Washed / Wet,Bourbon
131,84.67,1900.0,Africa,Washed / Wet,Ethiopian Varieties
132,84.67,1750.0,Central America,Washed / Wet,Typica
133,84.67,1200.0,Central America,Washed / Wet,Bourbon/Typica
134,84.67,1300.0,Central America,Washed / Wet,Bourbon
135,84.67,1000.0,Asia Pacific,Washed / Wet,Typica
136,84.67,1550.0,South America,Washed / Wet,Bourbon
137,84.67,2000.0,Africa,Washed / Wet,Bourbon
138,84.67,1310.64,Central America,Washed / Wet,Bourbon
139,84.67,1524.0,Central America,Washed / Wet,Bourbon
140,84.67,1200.0,North America,Washed / Wet,Typica
141,84.67,1775.0,Africa,Washed / Wet,Typica
142,84.67,1200.0,South America,Washed / Wet,Typica
143,84.67,1750.0,Africa,Natural / Dry,Typica
144,84.58,1754.0,Africa,Washed / Wet,Typica
145,84.58,1500.0,South America,Washed / Wet,Bourbon
146,84.58,1750.0,South America,Washed / Wet,Bourbon
147,84.58,1800.0,Africa,Washed / Wet,Others
148,84.58,1524.0,Central America,Washed / Wet,Typica
149,84.58,1219.2,Central America,Washed / Wet,Bourbon
150,84.58,1550.0,South America,Washed / Wet,Bourbon
151,84.58,1750.0,South America,Washed / Wet,Bourbon
152,84.58,1754.0,Africa,Washed / Wet,Bourbon
153,84.58,1750.0,South America,Washed / Wet,Bourbon
154,84.58,1575.0,Central America,Semi-Washed / Honey,Bourbon
155,84.58,1800.0,South America,Washed / Wet,Bourbon
156,84.58,1300.0,Brazil,Semi-Washed / Honey,Bourbon
157,84.58,1100.0,Brazil,Semi-Washed / Honey,Bourbon/Typica
158,84.5,1200.0,Central America,Washed / Wet,Bourbon
159,84.5,1750.0,Africa,Washed / Wet,Typica
160,84.5,1680.0,Asia Pacific,Washed / Wet,Catimor
161,84.5,1700.0,Central America,Washed / Wet,Bourbon
162,84.5,1800.0,South America,Washed / Wet,Bourbon
163,84.5,1100.0,Asia Pacific,Washed / Wet,Catimor
164,84.5,1310.64,Central America,Washed / Wet,Bourbon
165,84.5,2000.0,Africa,Washed / Wet,Bourbon
166,84.5,1350.0,North America,Washed / Wet,Typica
167,84.5,1500.0,North America,Washed / Wet,Typica
168,84.5,1550.0,Central America,Washed / Wet,Bourbon
169,84.5,1000.0,Brazil,Natural / Dry,Bourbon
170,84.5,1000.0,Brazil,Natural / Dry,Bourbon
171,84.42,1300.0,Central America,Washed / Wet,Bourbon
172,84.42,1400.0,Asia Pacific,Semi-Washed / Honey,Bourbon/Typica
173,84.42,1750.0,South America,Natural / Dry,Bourbon
174,84.42,1775.0,South America,Washed / Wet,Bourbon
175,84.42,1200.0,Asia Pacific,Washed / Wet,Typica
176,84.42,518.16,Asia Pacific,Natural / Dry,Typica
177,84.42,900.0,North America,Washed / Wet,Bourbon/Typica
178,84.42,1800.0,Africa,Natural / Dry,Typica
179,84.33,1800.0,Africa,Washed / Wet,Bourbon
180,84.33,1500.0,Central America,Washed / Wet,Bourbon
181,84.33,1750.0,South America,Washed / Wet,Bourbon
182,84.33,1500.0,Central America,Washed / Wet,Bourbon/Typica
183,84.33,1750.0,South America,Washed / Wet,Bourbon
184,84.33,442.0,South America,Natural / Dry,Bourbon
185,84.33,1800.0,South America,Washed / Wet,Bourbon
186,84.33,1700.0,North America,Washed / Wet,Typica
187,84.33,1275.0,Brazil,Natural / Dry,Bourbon
188,84.33,1050.0,Brazil,Natural / Dry,Bourbon
189,84.33,1493.52,Africa,Natural / Dry,Ethiopian Varieties
190,84.33,1386.84,Central America,Washed / Wet,Bourbon
191,84.25,1000.0,Asia Pacific,Washed / Wet,Typica
192,84.25,1200.0,Asia Pacific,Natural / Dry,Catimor
193,84.25,2560.0,South America,Natural / Dry,Bourbon
194,84.25,1500.0,Central America,Washed / Wet,Bourbon
195,84.25,1099.4136,Central America,Washed / Wet,Bourbon
196,84.25,1400.0,Asia Pacific,Natural / Dry,Catimor
197,84.25,1775.0,South America,Washed / Wet,Bourbon
198,84.25,1775.0,South America,Washed / Wet,Bourbon
199,84.25,1800.0,South America,Washed / Wet,Bourbon
200,84.25,442.0,South America,Natural / Dry,Bourbon
201,84.25,1620.0,Africa,Washed / Wet,Bourbon
202,84.25,1600.0,Africa,Washed / Wet,Bourbon
203,84.25,1219.2,Central America,Natural / Dry,Bourbon
204,84.25,1700.0,South America,Washed / Wet,Bourbon
205,84.25,518.16,Asia Pacific,Natural / Dry,Typica
206,84.25,1450.0,North America,Semi-Washed / Honey,Typica
207,84.25,1170.0,North America,Washed / Wet,Bourbon
208,84.25,1400.0,North America,Washed / Wet,Bourbon
209,84.25,1700.0,Africa,Natural / Dry,Typica
210,84.17,1700.0,Central America,Washed / Wet,Bourbon
211,84.17,1750.0,South America,Washed / Wet,Bourbon
212,84.17,1700.0,Central America,Washed / Wet,Bourbon
213,84.17,1116.7872,Central America,Washed / Wet,Bourbon
214,84.17,1565.0,Central America,Washed / Wet,Bourbon
215,84.17,3280.0,Central America,Washed / Wet,Bourbon
216,84.17,1775.0,South America,Washed / Wet,Bourbon
217,84.17,1000.0,Central America,Natural / Dry,Bourbon
218,84.17,1150.0,Brazil,Natural / Dry,Bourbon/Typica
219,84.17,1850.0,Central America,Washed / Wet,Bourbon
220,84.17,1606.5,Africa,Natural / Dry,Ethiopian Varieties
221,84.17,1400.0,Africa,Washed / Wet,Bourbon
222,84.17,1530.0,South America,Washed / Wet,Bourbon
223,84.17,1421.16,Central America,Washed / Wet,Bourbon
224,84.17,250.5,Africa,Washed / Wet,Bourbon
225,84.17,1038.5,Brazil,Natural / Dry,Bourbon/Typica
226,84.17,1310.64,Central America,Washed / Wet,Bourbon
227,84.17,1500.0,Central America,Natural / Dry,Bourbon
228,84.17,1750.0,South America,Washed / Wet,Bourbon
229,84.17,1700.0,Central America,Natural / Dry,Bourbon/Typica
230,84.17,1600.0,Africa,Washed / Wet,Typica
231,84.13,1350.0,Asia Pacific,Natural / Dry,Bourbon/Typica
232,84.08,442.0,South America,Washed / Wet,Bourbon
233,84.08,968.0,Asia Pacific,Washed / Wet,Typica
234,84.08,1310.64,Central America,Washed / Wet,Bourbon
235,84.08,1775.0,South America,Washed / Wet,Bourbon
236,84.08,1550.0,Central America,Washed / Wet,Bourbon
237,84.08,518.16,Asia Pacific,Natural / Dry,Typica
238,84.08,1480.0,North America,Washed / Wet,Typica
239,84.08,1800.0,Africa,Natural / Dry,Ethiopian Varieties
240,84.0,1300.0,Central America,Washed / Wet,Bourbon
241,84.0,1800.0,Africa,Natural / Dry,Ethiopian Varieties
242,84.0,1500.0,Central America,Washed / Wet,Bourbon
243,84.0,1706.88,Central America,Washed / Wet,Bourbon
244,84.0,1600.0,South America,Washed / Wet,Bourbon
245,84.0,1219.2,Central America,Natural / Dry,Bourbon
246,84.0,1219.2,Central America,Washed / Wet,Bourbon
247,84.0,1480.0,South America,Washed / Wet,Bourbon
248,84.0,1450.0,South America,Natural / Dry,Bourbon
249,84.0,1775.0,South America,Washed / Wet,Bourbon
250,84.0,1550.0,Africa,Natural / Dry,Ethiopian Varieties
251,84.0,1260.0,Brazil,Natural / Dry,Bourbon
252,84.0,1700.0,South America,Washed / Wet,Bourbon
253,84.0,1200.0,Africa,Washed / Wet,Typica
254,84.0,1200.0,Asia Pacific,Washed / Wet,Bourbon
255,84.0,1650.0,Africa,Washed / Wet,Bourbon
256,84.0,1700.0,Africa,Washed / Wet,Typica
257,84.0,1200.0,Asia Pacific,Washed / Wet,Bourbon
258,83.92,890.0,Brazil,Natural / Dry,Bourbon
259,83.92,1300.0,North America,Washed / Wet,Bourbon/Typica
260,83.92,1350.0,Asia Pacific,Natural / Dry,Catimor
261,83.92,934.0,Brazil,Natural / Dry,Bourbon
262,83.92,1200.0,Asia Pacific,Washed / Wet,Typica
263,83.92,442.0,South America,Washed / Wet,Bourbon
264,83.92,1750.0,South America,Washed / Wet,Bourbon
265,83.92,750.0,Asia Pacific,Natural / Dry,Typica
266,83.92,1750.0,South America,Washed / Wet,Bourbon
267,83.92,1750.0,South America,Washed / Wet,Bourbon
268,83.92,1775.0,South America,Washed / Wet,Bourbon
269,83.92,950.0,Asia Pacific,Washed / Wet,Typica
270,83.92,1550.0,South America,Natural / Dry,Bourbon
271,83.92,900.0,North America,Washed / Wet,Typica
272,83.92,1500.0,North America,Washed / Wet,Typica
273,83.92,1400.0,North America,Washed / Wet,Typica
274,83.83,2527.0,South America,Washed / Wet,Bourbon
275,83.83,1750.0,South America,Washed / Wet,Bourbon
276,83.83,1850.0,Central America,Washed / Wet,Bourbon
277,83.83,1500.0,Central America,Washed / Wet,Bourbon
278,83.83,1200.0,Asia Pacific,Washed / Wet,Typica
279,83.83,1.0,Brazil,Natural / Dry,Bourbon
280,83.83,525.0,Asia Pacific,Washed / Wet,Typica
281,83.83,1676.5,Africa,Natural / Dry,Ethiopian Varieties
282,83.83,1200.0,Brazil,Semi-Washed / Honey,Bourbon
283,83.83,1300.0,Central America,Washed / Wet,Bourbon/Typica
284,83.83,1219.2,Central America,Washed / Wet,Bourbon
285,83.83,1260.0,Brazil,Natural / Dry,Bourbon
286,83.83,800.0,South America,Natural / Dry,Bourbon
287,83.83,1750.0,South America,Washed / Wet,Bourbon
288,83.83,1310.64,Central America,Washed / Wet,Bourbon
289,83.83,1218.0,North America,Natural / Dry,Bourbon
290,83.83,1300.0,North America,Natural / Dry,Typica
291,83.83,1250.0,Brazil,Semi-Washed / Honey,Bourbon
292,83.83,1499.9208,Asia Pacific,Washed / Wet,Bourbon
293,83.83,1200.0,Asia Pacific,Washed / Wet,Bourbon
294,83.83,1800.0,Africa,Natural / Dry,Typica
295,83.75,1800.0,Africa,Washed / Wet,Bourbon
296,83.75,890.0,Brazil,Natural / Dry,Bourbon
297,83.75,442.0,South America,Washed / Wet,Bourbon
298,83.75,750.0,Asia Pacific,Natural / Dry,Typica
299,83.75,1750.0,South America,Washed / Wet,Bourbon
300,83.75,1650.0,Asia Pacific,Washed / Wet,Catimor
301,83.75,442.0,South America,Natural / Dry,Bourbon
302,83.75,1400.0,Africa,Natural / Dry,Bourbon
303,83.75,853.44,North America,Washed / Wet,Bourbon
304,83.75,1775.0,South America,Washed / Wet,Bourbon
305,83.75,1550.0,South America,Washed / Wet,Bourbon
306,83.75,1750.0,South America,Washed / Wet,Bourbon
307,83.75,1750.0,South America,Washed / Wet,Bourbon
308,83.75,518.16,Asia Pacific,Natural / Dry,Typica
309,83.75,700.0,North America,Natural / Dry,Bourbon
310,83.75,1300.0,Central America,Washed / Wet,Bourbon
311,83.75,1600.0,South America,Washed / Wet,Bourbon
312,83.75,1600.0,South America,Washed / Wet,Bourbon
313,83.75,518.16,Asia Pacific,Natural / Dry,Typica
314,83.67,890.0,Brazil,Natural / Dry,Bourbon
315,83.67,1700.0,Africa,Washed / Wet,Bourbon
316,83.67,1400.0,Central America,Washed / Wet,Bourbon
317,83.67,1250.0,Central America,Washed / Wet,Bourbon
318,83.67,934.0,Brazil,Natural / Dry,Bourbon
319,83.67,1200.0,Asia Pacific,Natural / Dry,Bourbon
320,83.67,1350.0,Central America,Washed / Wet,Bourbon
321,83.67,800.0,Asia Pacific,Washed / Wet,Bourbon
322,83.67,1625.0,South America,Washed / Wet,Bourbon
323,83.67,1356.6648,Central America,Washed / Wet,Bourbon
324,83.67,1750.0,South America,Washed / Wet,Bourbon
325,83.67,1900.0,South America,Washed / Wet,Bourbon
326,83.67,1310.64,Central America,Washed / Wet,Bourbon
327,83.67,1310.64,Central America,Washed / Wet,Bourbon
328,83.67,1750.0,South America,Washed / Wet,Bourbon
329,83.67,1450.0,Central America,Natural / Dry,Bourbon
330,83.67,1310.64,Central America,Washed / Wet,Bourbon
331,83.67,1100.0,North America,Washed / Wet,Typica
332,83.67,1400.0,Asia Pacific,Washed / Wet,Typica
333,83.67,1524.0,Central America,Washed / Wet,Bourbon
334,83.67,518.16,Asia Pacific,Natural / Dry,Typica
335,83.58,890.0,Brazil,Natural / Dry,Bourbon
336,83.58,1128.3696,Central America,Washed / Wet,Bourbon
337,83.58,1750.0,South America,Washed / Wet,Bourbon
338,83.58,1100.0,Asia Pacific,Washed / Wet,Catimor
339,83.58,1775.0,South America,Washed / Wet,Bourbon
340,83.58,1200.0,North America,Washed / Wet,Bourbon
341,83.58,1850.0,Africa,Washed / Wet,Ethiopian Varieties
342,83.58,1800.0,Africa,Washed / Wet,Typica
343,83.58,1600.0,South America,Natural / Dry,Bourbon
344,83.58,1550.0,South America,Washed / Wet,Bourbon
345,83.58,1550.0,South America,Washed / Wet,Bourbon
346,83.58,1000.0,Asia Pacific,Washed / Wet,Typica
347,83.58,1775.0,South America,Washed / Wet,Bourbon
348,83.58,1000.0,North America,Washed / Wet,Typica
349,83.58,2136.0,South America,Natural / Dry,Bourbon
350,83.58,1100.0,Brazil,Semi-Washed / Honey,Bourbon/Typica
351,83.5,1799.0,South America,Washed / Wet,Bourbon
352,83.5,750.0,Asia Pacific,Washed / Wet,Typica
353,83.5,1850.0,Central America,Washed / Wet,Bourbon
354,83.5,1000.0,South America,Natural / Dry,Bourbon
355,83.5,1219.2,Central America,Washed / Wet,Bourbon
356,83.5,1775.0,South America,Washed / Wet,Bourbon
357,83.5,1400.0,Africa,Washed / Wet,Others
358,83.5,1500.0,Asia Pacific,Semi-Washed / Honey,Typica
359,83.5,1600.0,Africa,Natural / Dry,Ethiopian Varieties
360,83.5,1750.0,South America,Washed / Wet,Bourbon
361,83.5,1850.0,South America,Washed / Wet,Bourbon
362,83.5,1400.0,Central America,Washed / Wet,Bourbon
363,83.5,1650.0,South America,Washed / Wet,Bourbon
364,83.5,1350.0,Central America,Natural / Dry,Bourbon
365,83.5,1750.0,South America,Washed / Wet,Bourbon
366,83.5,1750.0,South America,Washed / Wet,Bourbon
367,83.5,1170.0,North America,Natural / Dry,Bourbon
368,83.5,940.0,North America,Semi-Washed / Honey,Typica
369,83.5,1400.0,North America,Washed / Wet,Bourbon/Typica
370,83.5,1524.0,Central America,Washed / Wet,Bourbon
371,83.5,1775.0,South America,Washed / Wet,Bourbon
372,83.5,1402.08,Central America,Washed / Wet,Bourbon
373,83.5,518.16,Asia Pacific,Natural / Dry,Typica
374,83.5,1600.0,Asia Pacific,Washed / Wet,Typica
375,83.42,439.0,South America,Washed / Wet,Bourbon
376,83.42,1700.0,Central America,Washed / Wet,Bourbon
377,83.42,442.0,South America,Washed / Wet,Bourbon
378,83.42,1850.0,Central America,Washed / Wet,Bourbon
379,83.42,750.0,Asia Pacific,Washed / Wet,Typica
380,83.42,1800.0,Africa,Washed / Wet,Typica
381,83.42,1200.0,Asia Pacific,Washed / Wet,Catimor
382,83.42,1330.0,Central America,Washed / Wet,Bourbon
383,83.42,442.0,South America,Natural / Dry,Bourbon
384,83.42,1250.0,Brazil,Semi-Washed / Honey,Bourbon
385,83.42,1600.0,Africa,Washed / Wet,Bourbon
386,83.42,1813.0,South America,Washed / Wet,Bourbon
387,83.42,1219.2,Central America,Natural / Dry,Bourbon
388,83.42,1500.0,Central America,Washed / Wet,Bourbon
389,83.42,1310.64,Central America,Washed / Wet,Bourbon
390,83.42,518.16,Asia Pacific,Natural / Dry,Typica
391,83.42,1450.0,South America,Washed / Wet,Bourbon
392,83.42,1750.0,South America,Washed / Wet,Bourbon
393,83.42,518.16,Asia Pacific,Natural / Dry,Typica
394,83.42,1200.0,Asia Pacific,Washed / Wet,Others
395,83.38,1050.0,North America,Washed / Wet,Typica
396,83.33,1650.0,South America,Washed / Wet,Bourbon
397,83.33,1750.0,South America,Washed / Wet,Bourbon
398,83.33,1750.0,South America,Washed / Wet,Bourbon
399,83.33,1227.0,Brazil,Semi-Washed / Honey,Bourbon/Typica
400,83.33,1200.0,North America,Washed / Wet,Bourbon
401,83.33,1650.0,South America,Washed / Wet,Bourbon
402,83.33,1700.0,Africa,Semi-Washed / Honey,Bourbon
403,83.33,1100.0,North America,Washed / Wet,Typica
404,83.33,1300.0,Central America,Washed / Wet,Bourbon
405,83.33,518.16,Asia Pacific,Natural / Dry,Typica
406,83.33,1200.0,Central America,Washed / Wet,Bourbon/Typica
407,83.33,1200.0,South America,Washed / Wet,Typica
408,83.33,1280.16,North America,Washed / Wet,Typica
409,83.33,1000.0,South America,Natural / Dry,Bourbon
410,83.33,1310.64,Central America,Washed / Wet,Bourbon
411,83.33,518.16,Asia Pacific,Natural / Dry,Typica
412,83.33,1880.0,Africa,Washed / Wet,Bourbon
413,83.33,1750.0,South America,Washed / Wet,Bourbon
414,83.33,518.16,Asia Pacific,Natural / Dry,Typica
415,83.33,518.16,Asia Pacific,Natural / Dry,Typica
416,83.25,1600.0,North America,Washed / Wet,Typica
417,83.25,1900.0,Central America,Semi-Washed / Honey,Bourbon/Typica
418,83.25,1600.0,Central America,Washed / Wet,Bourbon
419,83.25,2100.0,Central America,Washed / Wet,Typica
420,83.25,1750.0,Africa,Washed / Wet,Typica
421,83.25,1000.0,Brazil,Natural / Dry,Bourbon
422,83.25,442.0,South America,Natural / Dry,Bourbon
423,83.25,1261.0,North America,Natural / Dry,Typica
424,83.25,1000.0,Asia Pacific,Washed / Wet,Bourbon
425,83.25,800.0,Asia Pacific,Washed / Wet,Typica
426,83.25,1483.0,South America,Natural / Dry,Bourbon
427,83.25,1500.0,Central America,Washed / Wet,Bourbon
428,83.25,1750.0,South America,Washed / Wet,Bourbon
429,83.25,1300.0,North America,Washed / Wet,Bourbon
430,83.25,518.16,Asia Pacific,Natural / Dry,Typica
431,83.25,1300.0,North America,Washed / Wet,Bourbon/Typica
432,83.25,1000.0,North America,Washed / Wet,Bourbon
433,83.25,1310.64,Central America,Washed / Wet,Bourbon
434,83.25,1200.0,Brazil,Semi-Washed / Honey,Bourbon
435,83.25,175.0,South America,Washed / Wet,Bourbon
436,83.25,1775.0,South America,Washed / Wet,Bourbon
437,83.25,1700.0,South America,Washed / Wet,Bourbon
438,83.25,1880.0,South America,Washed / Wet,Bourbon
439,83.25,1800.0,South America,Washed / Wet,Bourbon
440,83.17,890.0,Brazil,Natural / Dry,Bourbon
441,83.17,1901.0,Central America,Washed / Wet,Bourbon
442,83.17,168.0,Africa,Washed / Wet,Bourbon
443,83.17,1200.0,South America,Washed / Wet,Typica
